contribution,billed_date,order_id
16.78150864,11/13/2021,a9781
98.95435398,11/13/2021,c1515
58.18902184,11/13/2021,c5143
23.74141944,7/27/2022,a6194
22.9913025,4/9/2023,a4480
43.03325605,4/9/2023,d9092
83.03599746,4/9/2023,b1872
73.40690714,11/14/2021,c1517
57.15445058,11/14/2021,a693
55.0019086,11/14/2021,c6935
90.44221476,11/14/2021,b4069
0.635402148,7/28/2022,a8803
35.94962609,4/10/2023,d6135
38.79752927,4/10/2023,a2713
92.53483117,11/15/2021,b3080
27.2365563,11/15/2021,a2292
49.20907686,11/15/2021,b7523
32.09444386,7/29/2022,a1379
1.386608201,4/11/2023,c556
75.23559315,11/16/2021,a3968
9.040167021,7/30/2022,a6312
10.79110105,7/30/2022,c3270
11.20217171,4/12/2023,d9821
49.40943908,4/12/2023,d6643
30.98015738,4/12/2023,b6907
9.130508867,11/17/2021,d1485
85.93600147,7/31/2022,d7742
89.1906085,7/31/2022,c69
98.70574981,4/13/2023,c3110
17.8407318,4/13/2023,a5322
88.05204889,8/1/2022,c2487
3.318101128,8/2/2022,c4975
8.742307445,4/15/2023,b4907
31.47944238,4/15/2023,c8767
19.62578392,4/15/2023,a7554
49.42995497,11/20/2021,b8162
93.17520435,11/20/2021,b9857
58.95624678,8/3/2022,d8370
67.24113993,11/21/2021,d9063
33.97889855,8/4/2022,c2122
82.52122203,8/4/2022,d3736
43.88257337,8/4/2022,a6101
8.231813123,4/17/2023,a8326
43.81712044,11/22/2021,d7964
10.05645885,8/5/2022,b9984
48.88907495,4/18/2023,b7840
74.70042161,4/18/2023,a8332
83.5332688,11/23/2021,b5757
77.14248007,11/23/2021,c4557
21.09383814,8/6/2022,b9732
30.23238934,8/6/2022,a9062
80.86137901,8/6/2022,d5974
1.628728469,11/24/2021,d8129
74.09482086,11/24/2021,b5503
48.33309102,8/7/2022,a2722
83.52058673,4/20/2023,a1703
75.9084984,4/20/2023,b6980
0.1152200797,11/25/2021,c3370
20.91177336,11/25/2021,c4505
69.06249018,8/8/2022,a5174
71.76138702,4/21/2023,d6455
99.85240377,4/21/2023,d8991
72.87082336,11/26/2021,d1445
47.51161451,11/26/2021,d8699
20.25389751,8/9/2022,c1346
71.16607183,8/9/2022,d3701
35.55736416,8/9/2022,d779
2.97729021,8/9/2022,a8574
38.6018521,4/22/2023,b2542
61.77236165,4/22/2023,c2139
85.46553822,11/27/2021,d8130
10.98880942,8/10/2022,d4593
92.89341468,4/23/2023,b8643
21.46206208,4/23/2023,a2379
2.459627576,4/23/2023,c6383
51.00078671,11/28/2021,a8526
75.28637284,8/11/2022,b3211
44.78921908,11/29/2021,b1728
70.64134544,11/29/2021,d3575
60.63912575,11/29/2021,a6290
27.21645718,11/29/2021,c8573
88.86241267,4/25/2023,b5502
67.79408727,11/30/2021,d7402
18.96122936,4/26/2023,b6293
72.20024278,4/26/2023,d2703
85.67741686,8/14/2022,d7039
66.67764143,8/14/2022,a7068
17.00842326,12/2/2021,c4200
28.00420137,8/15/2022,b3134
20.65112948,8/15/2022,a6373
87.53337797,8/15/2022,b5951
8.999114746,12/3/2021,a8506
22.05709085,12/3/2021,a4361
81.69885178,8/16/2022,a9449
7.162997518,8/16/2022,c9424
32.25314867,12/4/2021,c4023
23.5564137,4/30/2023,a4730
20.95268503,12/5/2021,a2498
93.33564138,5/1/2023,d1252
85.46391746,5/1/2023,d956
10.86090696,5/1/2023,b5283
83.99390975,12/6/2021,a4554
38.25450856,8/19/2022,b5931
76.47906982,5/2/2023,b1573
98.86840175,8/20/2022,d9111
48.49470511,5/3/2023,b642
75.77423874,5/3/2023,b7978
65.54512087,5/3/2023,d6920
29.84721105,12/8/2021,d9280
77.59915801,8/21/2022,b1310
21.01204078,5/4/2023,d2069
25.35341311,5/4/2023,d6251
80.8950546,12/9/2021,b9158
64.32478612,12/9/2021,d3585
3.570888649,12/9/2021,a7764
49.78706854,12/9/2021,b2461
26.82817785,12/9/2021,c2442
22.72282213,8/22/2022,a6396
61.92926799,8/22/2022,a9899
4.097406751,5/5/2023,d6917
34.880909,5/5/2023,b148
56.56399446,12/10/2021,a2634
12.39293366,12/10/2021,c5490
28.16976117,12/10/2021,d7773
5.599035962,8/23/2022,d1611
6.973065498,8/23/2022,a9458
11.2982103,5/6/2023,d6875
50.88492644,5/6/2023,a3833
52.02507829,5/6/2023,c595
97.79511467,12/11/2021,d4553
39.22677983,8/24/2022,d3315
53.81746183,8/24/2022,a6385
10.32689948,5/7/2023,d8791
93.2497242,8/25/2022,a7402
2.98957276,5/8/2023,c4494
33.60654929,5/9/2023,d7914
62.04097761,5/9/2023,c4660
20.1390686,12/14/2021,d5576
61.30337106,12/14/2021,a5198
44.85287765,12/14/2021,a5107
70.18057926,12/14/2021,b7480
73.47882599,12/15/2021,b1671
98.09449723,5/11/2023,b2735
30.44980504,5/11/2023,c9966
15.97446904,12/16/2021,d5241
24.51505944,12/16/2021,c1906
45.03447184,8/29/2022,d4329
67.41679149,8/29/2022,a2339
80.51727317,8/29/2022,d6803
22.86851237,12/17/2021,a2083
94.44828882,12/17/2021,c7706
32.29627731,8/30/2022,d8387
75.48495854,5/13/2023,a5006
56.99350362,5/13/2023,b3242
24.86047922,12/18/2021,b548
69.61959754,8/31/2022,d2508
69.58627775,5/14/2023,b7024
94.10948569,5/14/2023,b101
93.34973854,12/19/2021,d718
3.365485139,12/19/2021,a8814
84.04254907,12/19/2021,d8696
67.6894836,9/1/2022,c6147
46.55337175,9/1/2022,c3609
28.11369925,5/15/2023,d6558
72.97685391,5/15/2023,d3218
3.910458129,5/15/2023,b6793
90.19548365,9/2/2022,c7163
69.05556575,9/2/2022,b5074
98.75266061,12/21/2021,d2757
46.51932046,12/21/2021,c6128
11.07016844,9/3/2022,b6748
52.10263164,9/3/2022,a7996
45.37665922,9/3/2022,a8578
12.92299629,5/17/2023,c9388
25.94916928,5/17/2023,c3389
14.85423115,5/17/2023,d7274
18.70187858,5/17/2023,b7393
25.683175,5/17/2023,a5069
54.69583002,12/22/2021,b2531
27.3609965,5/18/2023,d8258
75.15204804,12/23/2021,d8265
53.22871884,9/5/2022,c2624
90.42137361,12/24/2021,a4745
41.64225116,5/20/2023,d1414
57.86175874,12/25/2021,d743
77.55929616,12/25/2021,c1026
